Designator,Mid X,Mid Y,Layer,Rotation
C1,174.5,-101.3,top,180
C2,175.2,-104.68,top,270
C3,173.35,-121.38,top,0
C4,173.4,-117.98,top,0
C5,144.75,-87.07,top,180
C6,156.7,-101.95,top,0
C7,143.7,-90.12,top,90
C8,158.92,-89.14,top,90
C9,147.97,-101.87,top,180
C10,156.83,-100.29,top,0
C11,147.32,-87.05,top,0
C12,157.4,-89.14,top,90
C13,143.09,-96.07,top,90
C14,144.12,-96.09,top,90
C15,140.3,-88.88,top,0
C16,140.2,-94.5,top,180
C17,147.33,-78.79,top,270
C18,160.27,-103.68,top,270
C19,157.91,-84.02,top,270
C20,155.81,-82.08,top,0
C21,146.6,-107.6,top,180
C22,148.49,-112.71,top,180
C23,160.37,-73.04,top,90
D1,172,-91.08,top,0
D2,173.35,-108.49,top,0
D3,163.35,-113.69,top,270
D4,151.65,-73.27,top,180
D5,150.14,-78.75,top,90
F1,170.3,-95,top,90
FB1,173.88,-98.43,top,180
FB2,140.44,-98.03,top,180
J1,181.15,-83.47,top,90
J5,165.85,-70.44,top,270
L1,172.76,-113.11,top,270
Q1,174.3,-94.3,top,90
R1,178.55,-101.44,top,0
R2,181.15,-102.27,top,270
R3,181.67,-105.89,top,180
R4,181.68,-107.6,top,0
R5,181.68,-109.15,top,180
R6,161.78,-113.68,top,270
R7,141.33,-74.91,top,180
R8,143.13,-92.95,top,180
R9,136.45,-74.96,top,0
R10,148.96,-73.28,top,0
R11,152.47,-81.03,top,270
R12,151.11,-81.12,top,270
R13,149.35,-81.01,top,270
R14,155.05,-73.27,top,0
R15,153.33,-103.25,top,270
R16,170.7,-101.35,top,90
R17,160.02,-101.98,top,0
R18,155.87,-117.95,top,90
R19,157.05,-117.93,top,90
R20,139.54,-74.44,top,270
R21,138.09,-74.44,top,270
R22,133.82,-110.76,top,0
R23,133.82,-112.08,top,0
R24,161.4,-73.05,top,90
R25,168.43,-75.91,top,90
R26,140.1,-117.46,top,90
R27,141.36,-117.4,top,90
R28,167.22,-75.91,top,90
R29,165.85,-75.87,top,90
R30,132.81,-99.33,top,0
R31,132.82,-100.56,top,0
R32,132.5,-82.75,top,0
R33,132.5,-84,top,0
SW1,151.59,-69.53,top,180
U1,178.07,-104.65,top,90
U2,151.36,-94.39,top,270
U3,165.53,-101.33,top,-270
U4,155.8,-83.96,top,270
U5,148.19,-110.15,top,180
U6,172,-84.5,top,0
Y1,140.34,-91.75,top,270
